OrganisationName,CompanyNumber,,,,,,
Airedale Chemical Holdings Limited,8368496,,,,,,
Airedale International Air Conditioning Limited,1173149,,,,,,
Airline Investments Limited,8151808,,,,,,
Airline Services And Components Group Limited,7652548,,,,,,
Airline Services Limited,1685094,,,,,,
Airspan Communications Limited,3501881,,,,,,
Airsprung Furniture Limited,1503406,,,,,,
Airsprung Group PLC,1277785,,,,,,
Airswift Holdings Limited,9913704,,,,,,
Airtanker Holdings Limited,6279650,,,,,,
Airtanker Limited,6279734,,,,,,
Airtanker Services Limited,6279646,,,,,,
Airwair International Limited,3009359,,,,,,
Airwave Solutions Limited,3985643,,,,,,
AJ Bell Holdings Limited,4503206,,,,,,
Ajilon (UK) Limited,1458245,,,,,,
AKA Promotions Limited,3380689,,,,,,
Akaal Group PLC,5957569,,,,,,
Akamai Technologies Limited,3921701,,,,,,
Akari Care Cymru Limited,5930853,,,,,,
Akari Care Limited,7737949,,,,,,
Akazoo Limited,SC344843,,,,,,
Akcros Acquisition Limited,10029773,,,,,,
Aker Engineering & Technology Limited,5391240,,,,,,
Aker Offshore Partner Limited,1532141,,,,,,
Aker Solutions Angola Limited,320535,,,,,,
Aker Solutions Limited,4977339,,,,,,
AKO Capital LLP,OC312612,,,,,,
Akqa Limited,2964394,,,,,,
Aktrion Holdings Limited,5246035,,,,,,
AKW Medi-Care Limited,2764920,,,,,,
Akzo Nobel Packaging Coatings Limited,59837,,,,,,
Akzo Nobel Powder Coatings Limited,1725413,,,,,,
Al Rayan Bank PLC,4483430,,,,,,
AL. Murad D.I.Y. Limited,2635068,,,,,,
Alandale Logistics Limited,3279517,,,,,,
Albany Products Limited,4397624,,,,,,
Albea UK Limited,61652,,,,,,
Albert Bartlett & Sons (Airdrie) Limited,SC037896,,,,,,
Albert Bartlett Holdings Limited,SC531407,,,,,,
Albert Farnell Limited,391896,,,,,,
Albis (U.K.) Limited,886913,,,,,,
Albon Engineering And Manufacturing PLC,1113447,,,,,,
Albourne Partners Limited,2905244,,,,,,
ALC (SPC) Limited,5424261,,,,,,
ALC (Superholdco) Limited,5424245,,,,,,
Alcatel Submarine Networks UK Ltd,1750343,,,,,,
Alcentra Limited,2958399,,,,,,
Alcon Eye Care UK Limited,809238,,,,,,
Alcontrol Group Limited,7066581,,,,,,
Alcumus Group Limited,9793309,,,,,,
Alcura UK Limited,2945457,,,,,,
ALD Automotive Limited,987418,,,,,,
Alden Green Limited,7398357,,,,,,
Alderley PLC,2378070,,,,,,
Aldermanbury Investments Limited,3936272,,,,,,
Aldermore Bank PLC,947662,,,,,,
Aldermore Group PLC,6764335,,,,,,
Aldi Stores Limited,2321869,,,,,,
Aldo UK Limited,4256560,,,,,,
Aldridge Education,5670663,,,,,,
Aldwyck Housing Group Limited,IP21083R,,,,,,
Alec Jarrett Limited,723594,,,,,,
Alere Toxicology PLC,5396234,,,,,,
Alestra Group Holdings Limited,8807821,,,,,,
Alexander Dennis Limited,SC268016,,,,,,
Alexander Inglis And Son Limited,SC027806,,,,,,
Alexander Mann Group Limited,3560679,,,,,,
Alexander Mann Solutions Limited,2073305,,,,,,
Alexanders Prestige Group Limited,10236537,,,,,,
Alexanders Prestige Limited,5501999,,,,,,
Alexion Pharma UK Limited,5970106,,,,,,
Alfa Financial Software Holdings PLC,10713517,,,,,,
Alfa Financial Software Limited,2482325,,,,,,
Alfa Laval Limited,187261,,,,,,
Alfa Leisureplex Group Limited,9608912,,,,,,
Alfendo Limited,460932,,,,,,
Alfred Bagnall And Sons Limited,117129,,,,,,
Alfred Dunhill Limited,191031,,,,,,
Alfred H. Knight Holdings Limited,1945874,,,,,,
Alfred H. Knight International Limited,900322,,,,,,
Alfresco Holdings Limited,4429285,,,,,,
Alfresco Software Limited,4429260,,,,,,
Algebris (UK) Limited,10308570,,,,,,
Alipay (UK) Limited,8098385,,,,,,
Alixpartners Ltd,4560445,,,,,,
Alixpartners UK LLP,OC360308,,,,,,
Al-Ko Kober Limited,492005,,,,,,
All Metal Services Limited,1159685,,,,,,
All Response Media Limited,3056950,,,,,,
All Saints Retail Limited,4096157,,,,,,
All Steels Trading Limited,4316537,,,,,,
All3media International Limited,3203247,,,,,,
Allam Marine Limited,2708090,,,,,,
Allamhouse Limited,7042898,,,,,,
Allan Sichel Limited,492872,,,,,,
Allchurches Trust Limited,1043742,,,,,,
Allegion Investments (UK) Limited,6582550,,,,,,
Allegis Global Solutions Limited,3550830,,,,,,
Allegis Group Limited,2876353,,,,,,
Allegro Microsystems Europe Limited,2475901,,,,,,
Allen & Heath Limited,4163451,,,,,,
Allen & Overy LLP,OC306763,,,,,,
Allen Ford (UK) Limited,4782818,,,,,,
Allen Lane Limited,5115229,,,,,,
Allen Lane Topco Limited,10259052,,,,,,
Allenbuild Limited,1248351,,,,,,
Allergan Limited,1049760,,,,,,
Allergy Therapeutics PLC,5141592,,,,,,
Alliance Automotive Procurement Limited,6763254,,,,,,
Alliance Automotive UK LV Limited,998035,,,,,,
Alliance Group (NZ) Limited,1256992,,,,,,
Alliance Healthcare (Distribution) Limited,3446039,,,,,,
Alliance Healthcare (IT Services) Limited,3946622,,,,,,
Alliance Healthcare Management Services Limited,7073443,,,,,,
Alliance Medical Group Limited,8601376,,,,,,
Alliance Medical Limited,2128897,,,,,,
Alliance Pharma PLC,4241478,,,,,,
Alliance Pharmaceuticals Limited,3250064,,,,,,
Alliancebernstein Limited,2551144,,,,,,
Allianz Engineering Inspection Services Limited,5441840,,,,,,
Allianz Holdings PLC,5134436,,,,,,
Allianz Insurance PLC,84638,,,,,,
Allianz Management Services Limited,3947280,,,,,,
Allied Domecq Spirits & Wine Holdings Limited,2869879,,,,,,
Allied Glass Containers Limited,3846688,,,,,,
Allied Holdings (UK) 2014 Limited,SC475987,,,,,,
Allied Publicity Services (Manchester) Limited,681528,,,,,,
Allied Vehicles Limited,SC147093,,,,,,
Allied World Capital (Europe) Limited,7227195,,,,,,
Allies And Morrison LLP,OC404597,,,,,,
Allison Baby UK Limited,7584473,,,,,,
Allmed Medical Care Holdings Limited,7966208,,,,,,
Allnex Resins UK Limited,5235281,,,,,,
Allocate Midco Limited,9021889,,,,,,
Allocate Software Limited,2814942,,,,,,
Allocate Topco Limited,9021731,,,,,,
Alloga UK Limited,3169255,,,,,,
Alloy Racing Equipment Limited,901017,,,,,,
Allpay Limited,2933191,,,,,,
Allport Cargo Services Limited,772941,,,,,,
Allport Group Limited,5015923,,,,,,
Allsaints USA Limited,4174188,,,,,,
Allsop LLP,OC315531,,,,,,
Allstar Business Solutions Limited,2631112,,,,,,
Allstate Northern Ireland Limited,NI034636,,,,,,
Almac Clinical Services Limited,NI041905,,,,,,
Almac Group Limited,NI041551,,,,,,
Almac Pharma Services Limited,NI045055,,,,,,
Almacantar Centre Point Construction Limited,8738765,,,,,,
Almacantar Limited,7038904,,,,,,
Almar PLC,4192990,,,,,,
Almus Pharmaceuticals Limited,5037422,,,,,,
Alpha Financial Markets Consulting PLC,9965297,,,,,,
Alpha LSG Limited,8005515,,,,,,
Alpha Offshore International Leasing Limited,7251647,,,,,,
Alpha Partners Leasing Limited,4133746,,,,,,
Alpha Plus Group Limited,438111,,,,,,
Alpha Plus Holdings PLC,4418776,,,,,,
Alphabet (GB) Limited,3282075,,,,,,
Alphasights Ltd,6534480,,,,,,
Alpine Electronics of U.K. Limited,1952031,,,,,,
Alpla UK Limited,2482190,,,,,,
Alpro (UK) Limited,3708934,,,,,,
Alsford Timber Limited,2827724,,,,,,
Alstom NL Service Provision Ltd,2849400,,,,,,
Alstom Power Ltd,4347573,,,,,,
Alstom Transport UK Limited,8462831,,,,,,
Alston Investments Limited,8837616,,,,,,
Alta Advisers Limited,3150197,,,,,,
Altair (UK) Ltd,8774049,,,,,,
Alternative Futures Group Limited,2679915,,,,,,
Althea Services Limited,5699420,,,,,,
Althea UK And Ireland Limited,4328629,,,,,,
Altodigital Networks Limited,6380200,,,,,,
Altran UK Limited,3302507,,,,,,
Altro Group Plc(The),1493087,,,,,,
Altro Limited,154159,,,,,,
Altus Intervention Limited,SC225200,,,,,,
