OrganisationName,CompanyNumber,,,,,,
H Ripley & CO. Limited,4868630,,,,,,
H Walton Limited,4814871,,,,,,
H Young (Operations) Limited,706712,,,,,,
H Young Holdings Public Limited Company,194944,,,,,,
H&M Hennes & Mauritz UK Limited,1413450,,,,,,
H&Sc Technologies Limited,9017786,,,,,,
H. B. Leisure Ltd.,650937,,,,,,
H. B. Projects Limited,3685752,,,,,,
H. Clarkson & Company Limited,152738,,,,,,
H. G. Construction (Holdings) Limited,3910672,,,,,,
H. J. Enthoven Limited,2821551,,,,,,
H. K. S. Holdings Limited,5465167,,,,,,
H. Smith Food Group PLC,2461736,,,,,,
H.& J. Martin Limited,R0000273,,,,,,
H.B.Clark & Co.(Successors)Limited,130435,,,,,,
H.E. Simm & Son Limited,310690,,,,,,
H.I.Weldrick Limited,623420,,,,,,
H.J. Banks And Company Limited,1247725,,,,,,
H.J. Heinz Foods UK Limited,8322668,,,,,,
H.J. Heinz Manufacturing UK Limited,147624,,,,,,
H.J. LEA Oakes Limited,218912,,,,,,
H.K.S. Retail Limited,5448285,,,,,,
H.L. Hutchinson Limited,446633,,,,,,
H.P.A.S. Limited,2777148,,,,,,
H.R. Owen Dealerships Limited,2832555,,,,,,
H.R.Owen PLC,1753134,,,,,,
H.Tempest Limited,374510,,,,,,
H.W. Coates (Holdings) Limited,7107882,,,,,,
H.W. Coates Limited,1570075,,,,,,
H.W. Martin (Traffic Management) Limited,2221214,,,,,,
H.Weston & Sons Limited,672234,,,,,,
H+H UK Limited,247647,,,,,,
H+S Aviation Limited,422128,,,,,,
H2O Am (Corporate Member) Limited,7304483,,,,,,
H2O Am LLP,OC356207,,,,,,
Haas Formula UK Ltd,9152405,,,,,,
Haberdashers' Aske's Charity,CHA313996,,,,,,
Habib Qatar Exchange & Finance Limited,3856796,,,,,,
Habitat Retail Limited,7445750,,,,,,
Hackett Limited,1872280,,,,,,
Hadley Industries Holdings Limited,831538,,,,,,
Hadley Industries PLC,5740671,,,,,,
Hadwins (Lindale) Limited,986050,,,,,,
HAE Global Ltd,8135817,,,,,,
Hafele U.K. Limited,1486136,,,,,,
Hager Limited,1551990,,,,,,
Hager UK Limited,3201490,,,,,,
Hagondale Limited,2670425,,,,,,
Hain Frozen Foods UK Limited,5830980,,,,,,
Hajco 199 Limited,3473136,,,,,,
Hakkasan Limited,3488606,,,,,,
Hala Limited,3068625,,,,,,
Halcrow Group Limited,3415971,,,,,,
Halcrow Holdings Limited,1674044,,,,,,
Halcrow International Partnership,2809680,,,,,,
Halcyon Fine Art Group Holdings Limited,7230522,,,,,,
Halcyon Topco Limited,7672785,,,,,,
Haldane Fisher Limited,NI024075,,,,,,
"Haldane, Shiells And Company, Limited",NI001993,,,,,,
Halewood International Limited,3920410,,,,,,
Halewood Wines And Spirits PLC,3699814,,,,,,
Halfords Autocentres Limited,4050548,,,,,,
Halfords Group PLC,4457314,,,,,,
Halfords Limited,103161,,,,,,
Halfords Media (UK) Limited,5192712,,,,,,
Hall & Kay Fire Services Limited,5211559,,,,,,
Hall & Pickles 1812 Limited,3162309,,,,,,
Hall & Woodhouse Limited,57696,,,,,,
Hallam Land Management Limited,2456711,,,,,,
"Hallgarten Wines,Limited",432433,,,,,,
Halliburton Manufacturing And Services Limited,611451,,,,,,
Halliwell Jones (Chester) Limited,2665815,,,,,,
Halliwell Jones (North Wales) Limited,1266292,,,,,,
Halliwell Jones (Warrington) Limited,3323081,,,,,,
Halliwell Jones (Wilmslow) Limited,398803,,,,,,
Halliwell Jones Holdings (Chester) Limited,3950490,,,,,,
Halliwell Jones Holdings Limited,2833799,,,,,,
Halliwell Jones Limited,2043705,,,,,,
Hallmark Cards (Holdings) Limited,2087658,,,,,,
Hallmark Cards PLC,3414540,,,,,,
Hallmark Care Homes Group Holdings Limited,6047611,,,,,,
Halma Public Limited Company,40932,,,,,,
Halsall Electrical Limited,3299063,,,,,,
Halsall Holdings Limited,5765343,,,,,,
Halsion Holdings Limited,4246093,,,,,,
Halsion Limited,3172014,,,,,,
Haltermann Carless UK Limited,429315,,,,,,
Hamberley Development Limited,9170494,,,,,,
Hamiltons Galleries Limited,1333111,,,,,,
Hamleys Global Holdings Limited,8167684,,,,,,
Hamleys of London Limited,2287862,,,,,,
Hammer PLC,2640532,,,,,,
Hammerson (Brent Cross) Limited,3377460,,,,,,
Hammerson Group Management Limited,574728,,,,,,
Hammerson PLC,360632,,,,,,
Hammond Road Garage Limited,6571941,,,,,,
Hammonds Furniture Limited,1320508,,,,,,
Hammonds of Knutsford PLC,3780024,,,,,,
Hampden Group Limited,NI011639,,,,,,
Hampshire Trust Bank PLC,1311315,,,,,,
Hampshire Waste Services Limited,2537089,,,,,,
Hamsard 3352 Limited,9257269,,,,,,
Hamwic Trust,8508903,,,,,,
Hancock Cash & Carry Limited,868097,,,,,,
Hancocks Topco Limited,8266592,,,,,,
Hand Picked Hotels Limited,3760451,,,,,,
Handicare Accessibility Limited,4109393,,,,,,
Handley House Limited,9335386,,,,,,
Hankook Tyre U.K. Limited,2813126,,,,,,
Hanover Acceptances Limited,1063495,,,,,,
Hanover Housing Association,IP16324R,,,,,,
Hansgrohe Limited,2485328,,,,,,
Hanson Quarry Products Europe Limited,300002,,,,,,
Hansteen Holdings PLC,5605371,,,,,,
Hanwha Techwin Europe Limited,4343432,,,,,,
Happold LLP,OC331879,,,,,,
Harbour & Jones Limited,5016914,,,,,,
Harbro Limited,SC230773,,,,,,
Harding Brothers Retail Limited,6126331,,,,,,
Hardware Holdings Limited,9553872,,,,,,
Hardwicke Investments Limited,6454113,,,,,,
Hardy Underwriting Group PLC,3217501,,,,,,
Hardy Underwriting Limited,2981735,,,,,,
Hargreave Hale Limited,3146580,,,,,,
Hargreaves (UK) Services Limited,3735251,,,,,,
Hargreaves Industrial Services Limited,2307132,,,,,,
Hargreaves Land Limited,7813088,,,,,,
Hargreaves Lansdown Asset Management Limited,1896481,,,,,,
Hargreaves Lansdown Fund Managers Ltd.,2707155,,,,,,
Hargreaves Lansdown PLC,2122142,,,,,,
Hargreaves Services Europe Limited,7785110,,,,,,
Hargreaves Services PLC,4952865,,,,,,
Harley-Davidson Europe Limited,2358344,,,,,,
Harlow Agricultural Merchants Limited,1520770,,,,,,
Harlow Bros Holdings Limited,7582674,,,,,,
Harman Automotive UK Limited,8255499,,,,,,
Harman International Industries Limited,1485558,,,,,,
Harnbury Holdings Ltd,2702491,,,,,,
Harper Adams University,8049710,,,,,,
Harpercollins Publishers Limited,SC027389,,,,,,
Harratts Limited,2115805,,,,,,
Harratts of Wakefield Limited,3191474,,,,,,
Harris Cars Limited,1587197,,,,,,
Harris Construction Management Limited,4822245,,,,,,
Harris Federation,6228587,,,,,,
Harris Holdings (Grays) Limited,1141066,,,,,,
Harris PYE Engineering Group Limited,6178762,,,,,,
Harrison Catering Services Limited,2856316,,,,,,
Harrison SD Holdings Limited,5781593,,,,,,
Harrison Spinks Beds Ltd,277690,,,,,,
Harrods Aviation Limited,2043317,,,,,,
Harrods Corporate Management Limited,8022049,,,,,,
Harrods Group (Holding) Limited,5990648,,,,,,
Harrods International Limited,676533,,,,,,
Harrods Limited,30209,,,,,,
Harron Group Limited,4377164,,,,,,
Harron Homes Limited,3012678,,,,,,
Harrow Green Limited,1742531,,,,,,
Harrow School,CHA310033,,,,,,
Harry Corry Limited,NI011994,,,,,,
Harry Fairbairn Limited,SC043023,,,,,,
Harry Fairclough (Construction) Limited,1305987,,,,,,
Harry Fairclough Group Limited,6433023,,,,,,
Harry Yearsley Limited,556895,,,,,,
Harsco Metals Group Limited,702790,,,,,,
Hart Builders (Edinburgh) Limited.,SC030263,,,,,,
Hartshorne Group Limited,7265608,,,,,,
Hartshorne Motor Services Limited,940949,,,,,,
Hartwell Automotive Group Limited,158447,,,,,,
Hartwell PLC,155302,,,,,,
Harvest Energy Limited,2999020,,,,,,
Harvest Midco Limited,9453817,,,,,,
Harvey & Brockless Limited,1442472,,,,,,
Harvey & Thompson Limited,2636684,,,,,,
Harvey Commercial Holdings Limited,10199334,,,,,,
Harvey Nash Group PLC,3320790,,,,,,
Harvey Nash PLC,2202476,,,,,,
Harvey Nichols And Company Limited,1774537,,,,,,
Harvey Nichols Regional Stores Limited,4351230,,,,,,
Harvey Shopfitters Limited,1578037,,,,,,
Harwoods Limited,368849,,,,,,
Harworth Group PLC,2649340,,,,,,
Haskoningdhv UK Limited,1336844,,,,,,
Hastings Group Holdings PLC,9635183,,,,,,
Hastings Hotels Group Limited,NI008164,,,,,,
Hastings Insurance Services Limited,3116518,,,,,,
"Hatch, Mansfield Agencies Limited",2896078,,,,,,
Haulfryn Group Limited,307876,,,,,,
Hauser & Wirth Gallery Limited,4663431,,,,,,
Haut Investments Limited,8426405,,,,,,
Havana Holdings (UK) Limited,3513344,,,,,,
Havas Media Limited,2103123,,,,,,
Havas Worldwide London Limited,3675746,,,,,,
Haven Leisure Limited,1968698,,,,,,
Haven Power Limited,5893966,,,,,,
Havwoods Limited,1225320,,,,,,
Hawco & Sons Limited,SC060833,,,,,,
Hawk Noteco Limited,SC431040,,,,,,
Hawk Plant (UK) Ltd,7966612,,,,,,
Hawk Plant Hire Limited,4574589,,,,,,
Hawker Siddeley Switchgear Limited,370559,,,,,,
Hawkes Bay Holdings Limited,6319491,,,,,,
Hawkins Holdings Limited,6054926,,,,,,
Hawkins Motors Limited,586621,,,,,,
Hawksmoor Mortgages 2016-1 PLC,10218457,,,,,,
Hawthorn Leisure Holdings Limited,8906241,,,,,,
Haydock Commercial Vehicles Limited,1852976,,,,,,
Hayes & Jarvis (Travel) Limited,509596,,,,,,
Hayfin Capital Management LLP,OC346320,,,,,,
Haygrove Limited,3266992,,,,,,
Hayley Group Holding Limited,10164743,,,,,,
Hayley Group Limited,1257303,,,,,,
Hayman Group Limited,1784071,,,,,,
Haymarket Group Limited,2809261,,,,,,
Haymarket Media Group Ltd.,267189,,,,,,
"Haynes Brothers,Limited",48511,,,,,,
Haynes International Ltd,1209891,,,,,,
Hays Foreign Exchange Limited,3277863,,,,,,
Hays PLC,2150950,,,,,,
Hays Specialist Recruitment Limited,975677,,,,,,
Hays Tour Operating Limited,3591401,,,,,,
Hays Transport Limited,6428210,,,,,,
Hays Travel Limited,1990682,,,,,,
HB Education Limited,6247659,,,,,,
HB Healthcare Limited,7096695,,,,,,
HB Reavis Construction UK Ltd,8917100,,,,,,
HBL (Holdings) Limited,3835811,,,,,,
Hbos Investment Fund Managers Limited,941082,,,,,,
Hbos PLC,SC218813,,,,,,
Hbpo UK Limited,5557449,,,,,,
Hbvb,8453545,,,,,,
HCA International Limited,3020522,,,,,,
HCC International Insurance Company PLC,1575839,,,,,,
HCL Great Britain Limited,3299523,,,,,,
HCL Technologies UK Limited,8658132,,,,,,
Hc-One Beamish Limited,5217764,,,,,,
Hc-One Limited,7712656,,,,,,
Hc-One Oval Limited,10257888,,,,,,
HCT Group,1747483,,,,,,
HD Holdings II Limited,7264219,,,,,,
HDF (UK) Holdings Limited,5462865,,,,,,
Head Resourcing Limited,SC208200,,,,,,
Headcrown Group PLC,1455303,,,,,,
Headlam Group PLC,460129,,,,,,
Headlands Technologies Europe LLP,OC386044,,,,,,
Heads Recruitment Limited,3443013,,,,,,
Health Care Resourcing Group Limited,6357982,,,,,,
Health Made Easy Limited,9796720,,,,,,
Health Management (Uclh) Limited,3765833,,,,,,
Health Management Limited,4369949,,,,,,
Health Services Laboratories LLP,OC389166,,,,,,
Healthcare At Home Ltd,2759609,,,,,,
Healthcare Homes Group Limited,5507277,,,,,,
Healthcare Homes Holdings Limited,6545256,,,,,,
Healthcare Support (North Staffs) Holdings Limited,5309943,,,,,,
Healthcare Support (North Staffs) Limited,5309720,,,,,,
Health-On-Line Company UK Limited,3655704,,,,,,
Heart Academies Trust,6969741,,,,,,
Heart of England Co-Operative Society Limited,IP02399R,,,,,,
Heathcoat Fabrics Limited,450787,,,,,,
Heathrow (SP) Limited,6458621,,,,,,
Heathrow Airport Holdings Limited,5757208,,,,,,
Heathrow Airport Limited,1991017,,,,,,
Heathrow Express Operating Company Limited,3145133,,,,,,
Heathrow Finance PLC,6458635,,,,,,
Heathrow Truck Centre Limited,2067793,,,,,,
Heating Plumbing Supplies Limited,4171695,,,,,,
Heatons (N.I.) Limited,NI035599,,,,,,
Heatons Truck Group Ltd,487572,,,,,,
Heerema Hartlepool Limited,1287666,,,,,,
Heidelberg Graphic Equipment Limited,1177224,,,,,,
Heineken UK Limited,SC065527,,,,,,
Helical Industries Ltd.,733613,,,,,,
Helical PLC,156663,,,,,,
Helium Sofa Group Limited,8470487,,,,,,
Heliworld Leasing Limited,4413202,,,,,,
Helix Acquisition Limited,7428859,,,,,,
Helix Well OPS (U.K.) Limited,SC231293,,,,,,
Hellenic Petroleum Cyprus Limited,454043,,,,,,
Heller Machine Tools Holdings Limited,1439149,,,,,,
Heller Machine Tools Limited,1414150,,,,,,
Hellermanntyton Limited,5652018,,,,,,
Hellmann Worldwide Logistics Limited,1108485,,,,,,
Helm Great Britain Limited,1196136,,,,,,
Helsinki Topco Limited,8241810,,,,,,
Helston Garages Group Limited,4022175,,,,,,
Helston Garages Limited,703021,,,,,,
Heltor Limited,686375,,,,,,
Hemingways (Furnishers) Limited,293303,,,,,,
Hemingways Marketing Services Limited,453174,,,,,,
Henderson Administration Limited,290577,,,,,,
Henderson Foodservice Limited,NI006894,,,,,,
Henderson Global Investors Limited,906355,,,,,,
Henderson Investment Funds Limited,2678531,,,,,,
Henderson Retail Limited,R0000035,,,,,,
Henderson Wholesale Limited,NI000068,,,,,,
Hendy Automotive Limited,9881062,,,,,,
Hendy Group Limited,192872,,,,,,
Hengistbury Investment Partners LLP,OC365747,,,,,,
Henkel Limited,215496,,,,,,
Henley Homes Public Limited Company,3718331,,,,,,
Henmead Limited,1350468,,,,,,
Henrob Limited,1873269,,,,,,
Henry Barrett Group PLC,169517,,,,,,
Henry Boot Construction Limited,2880202,,,,,,
Henry Boot Developments Limited,1390361,,,,,,
Henry Boot PLC,160996,,,,,,
Henry Brothers Limited,NI629986,,,,,,
Henry Colbeck Limited,822749,,,,,,
Henry Construction Projects Limited,7282527,,,,,,
Henry Group (NI) Limited,NI018696,,,,,,
Henry Group Holdings Limited,9982615,,,,,,
Henry Schein UK Holdings Limited,2579457,,,,,,
Henty Oil Limited,1453260,,,,,,
Heptares Therapeutics Limited,6267989,,,,,,
Herbalife (U.K.) Limited,1710199,,,,,,
Herbert Smith Freehills LLP,OC310989,,,,,,
Herbert Smith Freehills Paris LLP,OC360241,,,,,,
Heritage Automotive Holdings Limited,9852821,,,,,,
Heritage Automotive Limited,3142712,,,,,,
Heritage Care Limited,7211819,,,,,,
Herma UK Limited,2580614,,,,,,
Herman Miller Limited,1097772,,,,,,
Hermes (G.B.) Limited,773076,,,,,,
Hermes Fund Managers Limited,1661776,,,,,,
Hermes Investment Management Ltd,2466043,,,,,,
Hermes Parcelnet Limited,3900782,,,,,,
Hermon Hodge Limited,1247450,,,,,,
Hero Acquisitions Limited,6209511,,,,,,
Heron Bros. Limited,NI016051,,,,,,
Heron Food Group Limited,4514523,,,,,,
Heron Foods Limited,1392197,,,,,,
Hertel (UK) Limited,1215183,,,,,,
Hertfordshire Catering Limited,8409608,,,,,,
Hertz (U.K.) Limited,597994,,,,,,
Hertz Accident Support Ltd,7104609,,,,,,
Hertz Europe Limited,1008739,,,,,,
Hesco Bastion Limited,2600319,,,,,,
Hesley Holdings Limited,6540655,,,,,,
Hestview Limited,1100741,,,,,,
Hewitt Risk Management Services Limited,5913159,,,,,,
Hewlett - Packard Limited,690597,,,,,,
Hexadex Limited,2674947,,,,,,
Hexagon Investment Holdings Limited,5450071,,,,,,
Hexcel Composites Limited,3069887,,,,,,
Hexion UK Limited,867053,,,,,,
Hexstone Ltd.,436243,,,,,,
Heygate & Sons Limited,719446,,,,,,
Heygate Grain Limited,1522607,,,,,,
Heygates Limited,603238,,,,,,
Heyrod Construction Limited,1354077,,,,,,
Heyrod Holdings Ltd,9900335,,,,,,
Heywood Williams Components Limited,2523354,,,,,,
HF Group Limited,SC316875,,,,,,
HF Trust Limited,734984,,,,,,
HFC Prestige Manufacturing UK Limited,9792386,,,,,,
HFC Prestige Products Limited,923687,,,,,,
HFD Construction Group Limited,SC350707,,,,,,
HFD Group Limited,SC362322,,,,,,
HFD Limited,2674152,,,,,,
HFD Property Group Limited,SC373059,,,,,,
HFG Holdings Limited,3877953,,,,,,
HG Construction Limited,1617719,,,,,,
HG Pooled Management Limited,2055886,,,,,,
Hgcapital LLP,OC301825,,,,,,
HGF Limited,8998652,,,,,,
HGI Group Limited,2072534,,,,,,
HH Global Limited,4680562,,,,,,
Hhgl Limited,533033,,,,,,
Hiab Limited,2117024,,,,,,
Hibu Group Limited,8815102,,,,,,
Hickey Group Limited,9946278,,,,,,
Hickman Industries Limited,3635461,,,,,,
Hickson Limited,328747,,,,,,
Hicp Limited,9450061,,,,,,
Hid Corporation Limited,3568985,,,,,,
Hidden Hearing Limited,1990227,,,,,,
HIF Holdings (U.K.) Limited,3336460,,,,,,
Higgins Construction PLC,684617,,,,,,
Higgins Group PLC,2348986,,,,,,
Higgins Homes PLC,843093,,,,,,
High Command Productions Limited,1402808,,,,,,
High Seat Holdings Limited,7019837,,,,,,
High Seat Limited,916661,,,,,,
High Street TV (Group) Limited,6577510,,,,,,
High Value Manufacturing Catapult,7708659,,,,,,
Highbridge Caravan Centre Limited,1953871,,,,,,
Highbury Poultry Farm Produce Limited,1208884,,,,,,
Highclere International Investors LLP,OC355922,,,,,,
Highcrest Retail Brands Limited,6970920,,,,,,
Highgrove Group PLC,5300988,,,,,,
Highland Distillers Limited,SC158731,,,,,,
Highland Fuels (Investments) Limited,SC361091,,,,,,
Highland Fuels Limited,SC032343,,,,,,
Highland Industrial Supplies Limited,SC088770,,,,,,
Highland Products Limited,SC268784,,,,,,
Highland Spring Limited,SC067339,,,,,,
Highway Insurance Company Limited,3730662,,,,,,
Highway Insurance Group Limited,2998217,,,,,,
Highway Stops Retail Limited,7732029,,,,,,
Highways England Company Limited,9346363,,,,,,
Highwood Group Limited,5892469,,,,,,
Hiho Metal Europe Limited,6704986,,,,,,
Hikma Pharmaceuticals Public Limited Company,5557934,,,,,,
Hilbre Holdings Limited,9473233,,,,,,
Hilco London Limited,3966729,,,,,,
Hilfiger Stores Limited,3370088,,,,,,
Hill & Knowlton Limited,953243,,,,,,
Hill & Smith Holdings PLC,671474,,,,,,
Hill & Smith Limited,1270322,,,,,,
Hill Dickinson Business Services Limited,7525975,,,,,,
Hill Dickinson LLP,OC314079,,,,,,
Hill Holdings Limited,4202304,,,,,,
Hill Partnerships Limited,2599073,,,,,,
Hill Residential Limited,4251718,,,,,,
Hillary Bidco Limited,8004858,,,,,,
Hillarys Blinds Limited,1196432,,,,,,
Hillhouse Estates Limited,SC023206,,,,,,
Hillhouse Quarry Group Limited,SC135103,,,,,,
Hillreed Homes Limited,1203345,,,,,,
Hill's Garages (Woodford) Limited,395953,,,,,,
Hills Group Enterprises Limited,4593885,,,,,,
Hills Numberplates Limited,8800141,,,,,,
Hill's Pet Nutrition Limited,1981158,,,,,,
Hills Prospect PLC,4257011,,,,,,
Hills UK Limited,530623,,,,,,
Hills Waste Solutions Limited,571289,,,,,,
Hillside (Media Services) Limited,9171710,,,,,,
Hillside (Shared Services) Limited,3958393,,,,,,
Hillside (Spain New Media) PLC,7833226,,,,,,
Hillside (Technology) Limited,8273456,,,,,,
Hilti (Gt.Britain) Limited,479786,,,,,,
Hilton Foods UK Limited,NI026872,,,,,,
Hilton Garage Ltd,1384615,,,,,,
Hilton International Hotels (UK) Limited,695283,,,,,,
Hilton International IP Holding Limited,10270040,,,,,,
Hilton Worldwide Holding LLP,OC392495,,,,,,
Hilton Worldwide Limited,SC022163,,,,,,
Hilton Worldwide Manage Limited,7462067,,,,,,
Hinduja Automotive Limited,159177,,,,,,
Hingley & Callow Oils Limited,955492,,,,,,
Hipp UK Limited,4498995,,,,,,
Hippo Motor Group Limited,8668777,,,,,,
Hippo Vehicle Solutions Limited,6215364,,,,,,
Hippodrome Casino Limited,5497987,,,,,,
Hippodrome Holdings Limited,10178234,,,,,,
Hire Station Limited,3428037,,,,,,
Hiscox Dedicated Corporate Member Limited.,2858319,,,,,,
Hiscox Europe Underwriting Limited,6712051,,,,,,
Hiscox Insurance Company Limited,70234,,,,,,
Hiscox Insurance Holdings Limited,2874306,,,,,,
Hiscox Underwriting Group Services Limited,4137419,,,,,,
Hisense UK Limited,8233694,,,,,,
Histon Sweet Spreads Limited,7958787,,,,,,
Historic Royal Palaces,CHA1068852,,,,,,
Hitachi Automotive Systems UK Ltd.,3302684,,,,,,
Hitachi Capital (UK) PLC,1630491,,,,,,
Hitachi Construction Machinery (UK) Limited,1082975,,,,,,
Hitachi Consulting UK Limited,5660638,,,,,,
Hitachi Europe Limited,2210686,,,,,,
"Hitachi Nuclear Energy Europe, Limited",9710636,,,,,,
Hitachi Rail Europe Limited,5598549,,,,,,
Hitachi Vantara Limited,2332239,,,,,,
HL Hall (International) Limited,1858950,,,,,,
HLT Stakis Operator Limited,6398451,,,,,,
HMS (485) Limited,SC253524,,,,,,
Hmshost UK Limited,3650426,,,,,,
HMV Retail Limited,8380689,,,,,,
Hnvr Holdco Limited,10221476,,,,,,
Hnvr Midco Limited,9957377,,,,,,
Hnvr Topco Limited,10209686,,,,,,
Hoare LEA LLP,OC407254,,,,,,
Hobbs Fashion Holdings Limited,7299448,,,,,,
Hobbs Limited,1577740,,,,,,
Hobbycraft Group Limited,7216034,,,,,,
Hobbycraft Trading Limited,806269,,,,,,
Hoburne Limited,1102096,,,,,,
Hochschild Mining PLC,5777693,,,,,,
Hochtief (UK) Construction Limited,2489026,,,,,,
Hocomm Limited,4832046,,,,,,
Hodder & Stoughton Limited,651692,,,,,,
Hodgson Automotive Limited,3668445,,,,,,
Hodgson Newcastle Limited,2680619,,,,,,
Hogan Lovells (Paris) LLP,OC353350,,,,,,
Hogan Lovells International LLP,OC323639,,,,,,
Hogan Lovells Services,2898822,,,,,,
Hogarth Worldwide Limited,6872427,,,,,,
Hogg Robinson (Travel) Limited,1284358,,,,,,
Hogg Robinson Group Limited,3946303,,,,,,
Hoggant Limited,8700921,,,,,,
Holbud Group Limited,8743631,,,,,,
Holbud Limited,1328840,,,,,,
Holchem Laboratories Limited,1686721,,,,,,
Holdcroft Honda Limited,1231883,,,,,,
Holdcroft Hyundai Limited,10148577,,,,,,
Holdcroft Nissan Limited,3069848,,,,,,
Holdcroft Renault Limited,2216760,,,,,,
Holden & Holden Limited,1385413,,,,,,
Holdfast Training Services Limited,4094249,,,,,,
Holding & Management (Solitaire) Limited,1649347,,,,,,
Holdingham Group Limited,3481321,,,,,,
Holdsmyth Limited,5371149,,,,,,
Holdsworth Holdings Limited,1280605,,,,,,
Holiday Extras Investments Limited,7581191,,,,,,
Holiday Extras Limited,1693250,,,,,,
Holiday Lettings Limited,5282912,,,,,,
Holidaybreak Limited,2305562,,,,,,
Holland & Barrett Group Limited,3086306,,,,,,
Holland & Barrett International Limited,4515115,,,,,,
Holland & Barrett Retail Limited,2758955,,,,,,
Holland Bazaar Limited,4577156,,,,,,
Hollingsworth And Vose Company (U.K.) Limited,1664523,,,,,,
Hollister Europe Limited,2403481,,,,,,
Hollister Limited,2509735,,,,,,
Hollywood Bowl Group PLC,10229630,,,,,,
Holman Fenwick Willan LLP,OC343361,,,,,,
Holmes Funding Limited,3982428,,,,,,
Holmes Master Issuer PLC,5953811,,,,,,
Hologic HUB Ltd,9504366,,,,,,
Hologic IP Ltd,9484129,,,,,,
Hologic Ltd.,2722343,,,,,,
Holroyd Howe Limited,3319291,,,,,,
Holt JCB Holdings Limited,7972511,,,,,,
Holt JCB Limited,2199217,,,,,,
Home Group Limited,IP22981R,,,,,,
Home Retail Group Card Services Limited,4007072,,,,,,
Homeaway UK Limited,3152676,,,,,,
Homefield PVT UK Ltd.,5608419,,,,,,
Homeloan Management Limited,2214839,,,,,,
Homer Newco Limited,7097158,,,,,,
Homes For Haringey Limited,5749092,,,,,,
Homeserve Membership Limited,2770612,,,,,,
Homestead Foods Limited,1737005,,,,,,
Honda Finance Europe PLC,3289418,,,,,,
Honda Logistics UK Limited,2534528,,,,,,
Honda Motor Europe Limited,857969,,,,,,
Honda of The U.K. Manufacturing Limited,1887872,,,,,,
Honda Trading Europe Limited,2465436,,,,,,
Honeywell Control Systems Limited,217803,,,,,,
Honeywell Security UK Limited,1248725,,,,,,
HOO Hing Holdings Limited,1372042,,,,,,
HOO Hing Limited,2625487,,,,,,
Hook 2 Sisters Limited,5969169,,,,,,
Hoover Ferguson Group Limited,10386078,,,,,,
Hoover Limited,2521528,,,,,,
"Hope Learning Trust, York",7559537,,,,,,
Hope Sixteen (No.87) Limited,SC098055,,,,,,
Hopkins And Moore (Developments) Limited,2162164,,,,,,
Hopkins Homes Limited,2875798,,,,,,
Hops Pub Company Limited,6457363,,,,,,
Hopwells Ltd,1404481,,,,,,
Horbury Group Limited,6217640,,,,,,
Horiba Mira Limited,9626352,,,,,,
Horiba UK Limited,2242542,,,,,,
Horizon Asset (UK) Limited,4030407,,,,,,
Horizon Asset LLP,OC391969,,,,,,
Horizon Discovery Group PLC,8921143,,,,,,
Horizon Holdco Limited,9810016,,,,,,
Horizon International Holdings Limited,5942131,,,,,,
Horizon Midco Limited,9810120,,,,,,
Horizon Motor Company Limited,1031131,,,,,,
Horizon Nuclear Power Services Limited,6812099,,,,,,
Horizon RE Limited,5648056,,,,,,
Horizon Supplies & Services Limited,7968811,,,,,,
Hormann (U.K.) Limited,1440638,,,,,,
Hospira UK Limited,1923357,,,,,,
Hospital of ST John And ST Elizabeth,CHA235822,,,,,,
Hospital Topco Limited,9274988,,,,,,
Hostelworld Group PLC,9818705,,,,,,
Hosting Developments Limited,6338229,,,,,,
Hotbray Limited,1053848,,,,,,
Hotchkiss Group Ltd,393466,,,,,,
Hotchkiss Ltd,900611,,,,,,
Hotel Chocolat Group PLC,8612206,,,,,,
Hotel Chocolat Retail Ltd,6868820,,,,,,
Hotel DU VIN Trading Limited,8960779,,,,,,
Hotel Management International (Holdings) Limited,4324021,,,,,,
Hotelplan (Transport) Ltd.,2949750,,,,,,
Hotelplan (U.K. Group) Limited,444219,,,,,,
Hotelplan Limited,350786,,,,,,
Houghton PLC,63827,,,,,,
Houlihan & CO (Holdings) Limited,9060863,,,,,,
Houlihan & CO. (Excavations) Limited,1065430,,,,,,
Houlihan Lokey (Europe) Limited,4285073,,,,,,
"Houlihan Lokey Emea, LLP",OC403806,,,,,,
Housing & Care 21,IP16791R,,,,,,
Houston Cox Central Limited,5149872,,,,,,
Hovis Limited,8846838,,,,,,
Howard De Walden Estates Holdings Limited,6439246,,,,,,
Howard De Walden Estates Limited,781024,,,,,,
Howard Garages (Weston) Limited,1108986,,,,,,
Howard Hunt (City) Limited,2535108,,,,,,
Howard Kennedy LLP,OC361417,,,,,,
Howard Tenens Limited,6690158,,,,,,
Howarth Timber & Building Supplies Limited,201929,,,,,,
Howarth Timber Group Limited,67025,,,,,,
Howco Group PLC,SC079844,,,,,,
Howden Joinery Corporate Services Limited,1767386,,,,,,
Howden Joinery Group PLC,2128710,,,,,,
Howden Joinery Holdings Limited,3320875,,,,,,
Howden Joinery Limited,526923,,,,,,
Howden Joinery People Services Limited,5799085,,,,,,
Howden Joinery Properties Limited,5656171,,,,,,
Howden UK Group Limited,725875,,,,,,
Howden UK Limited,R0000173,,,,,,
Howie Forest Products Limited,SC221641,,,,,,
Howmet Limited,2659893,,,,,,
Hoyer Petrolog UK Limited,1164085,,,,,,
Hozelock Limited,645367,,,,,,
